Speed Lim,20,30,40,50,60,70,,,,,,,,,,,,,
0,116.6,44.5,112,14.4,96.4,71,,,,,,,,,,,,,
1,56.6,30.33333333,101.4,6.2,54.6,37,,,,,,,,,,,,,
2,53.6,21.83333333,86.2,3.8,37,38,,,,,,,,,,,,,
3,63.4,26,97.2,6.6,30.8,73,,,,,,,,,,,,,
4,95.2,59.83333333,95.4,8.2,70.2,239,,,,,,,,,,,,,
5,260.8,212.5,145.2,27.8,201.4,716,,,,,,,,,,,,,
6,579.4,522.5,287.6,69.8,466,1249,,,,,,,,,,,,,
7,947.2,793.3333333,498.4,149.6,849.6,1581,,,,,,,,,,,,,
8,990.8,789.5,539.2,179.6,881.8,1180,,,,,,,,,,,,,
9,845.2,594.6666667,422.4,162.8,636.8,987,,,,,,,,,,,,,
10,651.2,463.3333333,418,175.8,552.6,889,,,,,,,,,,,,,
11,659.8,427.5,445.4,186,566.2,909,,,,,,,,,,,,,
12,688.4,464.5,427.6,186.2,615.8,923,,,,,,,,,,,,,
13,668.4,489.6666667,451.2,182.6,638.2,999,,,,,,,,,,,,,
14,751.4,551.1666667,490.4,193.4,771.2,1162,,,,,,,,,,,,,
15,883.2,682,509.8,216.2,897.6,1531,,,,,,,,,,,,,
16,1004.4,836.6666667,530.8,214.8,1007.8,1846,,,,,,,,,,,,,
17,991,913.1666667,524,193.8,1114.8,1961,,,,,,,,,,,,,
18,892.6,780.1666667,459.8,135.6,853.6,1219,,,,,,,,,,,,,
19,689,544.6666667,364,103.6,595.6,861,,,,,,,,,,,,,
20,499.2,343.3333333,304,82.6,468.6,630,,,,,,,,,,,,,
21,408.2,264,233,59.2,351.8,442,,,,,,,,,,,,,
22,308.8,170.6666667,182.6,34.2,241,219,,,,,,,,,,,,,
23,236.2,112,142.8,22.8,169,129,,,,,,,,,,,,,
Total:,66674,60794,39312,13053,60812,19884,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
