,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Maryland Department of Transportation
State Highway Administration
Highway Information Services Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Volume Count Detail Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Location ID :,,,,,,,B0586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Location :,,,,,,,WASHINGTON ST -.10 MI E OF LEE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date  Range:,,,,,,,10/04/2016,,,,,,,,,,to,,,,10/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date:  10/2/2016,,,,,,,,,,,,,,,Direction:   Eastbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Beginning Hour ,,,,,,,,Sun,,,,,,Mon,,,,,Tue,,,,Wed,,,Thu,,,,,Fri,,,Sat,,,,,Daily Avg,,,,Weekday Avg,,,Weekend Avg,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0: 00,,,,,0 ,,,,,,,0 ,,,,,,5 ,,,,3 ,,,0 ,,,,0 ,,,,0 ,,,4 ,,,,,,4 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1: 00,,,,,0 ,,,,,,,0 ,,,,,,2 ,,,,0 ,,,0 ,,,,0 ,,,,0 ,,,2 ,,,,,,2 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2: 00,,,,,0 ,,,,,,,0 ,,,,,,0 ,,,,1 ,,,0 ,,,,0 ,,,,0 ,,,1 ,,,,,,1 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3: 00,,,,,0 ,,,,,,,0 ,,,,,,1 ,,,,1 ,,,0 ,,,,0 ,,,,0 ,,,1 ,,,,,,1 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4: 00,,,,,0 ,,,,,,,0 ,,,,,,0 ,,,,2 ,,,0 ,,,,0 ,,,,0 ,,,2 ,,,,,,2 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5: 00,,,,,0 ,,,,,,,0 ,,,,,,3 ,,,,1 ,,,0 ,,,,0 ,,,,0 ,,,2 ,,,,,,2 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6: 00,,,,,0 ,,,,,,,0 ,,,,,,13 ,,,,24 ,,,0 ,,,,0 ,,,,0 ,,,19 ,,,,,,19 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7: 00,,,,,0 ,,,,,,,0 ,,,,,,83 ,,,,70 ,,,0 ,,,,0 ,,,,0 ,,,77 ,,,,,,77 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8: 00,,,,,0 ,,,,,,,0 ,,,,,,119 ,,,,99 ,,,0 ,,,,0 ,,,,0 ,,,109 ,,,,,,109 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9: 00,,,,,0 ,,,,,,,0 ,,,,,,70 ,,,,97 ,,,0 ,,,,0 ,,,,0 ,,,84 ,,,,,,84 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10: 00,,,,,0 ,,,,,,,0 ,,,,,,79 ,,,,62 ,,,0 ,,,,0 ,,,,0 ,,,71 ,,,,,,71 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11: 00,,,,,0 ,,,,,,,0 ,,,,,,72 ,,,,69 ,,,0 ,,,,0 ,,,,0 ,,,71 ,,,,,,71 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12: 00,,,,,0 ,,,,,,,0 ,,,,,,87 ,,,,87 ,,,0 ,,,,0 ,,,,0 ,,,87 ,,,,,,87 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13: 00,,,,,0 ,,,,,,,0 ,,,,,,78 ,,,,87 ,,,0 ,,,,0 ,,,,0 ,,,83 ,,,,,,83 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14: 00,,,,,0 ,,,,,,,0 ,,,,,,74 ,,,,78 ,,,0 ,,,,0 ,,,,0 ,,,76 ,,,,,,76 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15: 00,,,,,0 ,,,,,,,0 ,,,,,,76 ,,,,84 ,,,0 ,,,,0 ,,,,0 ,,,80 ,,,,,,80 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16: 00,,,,,0 ,,,,,,,0 ,,,,,,81 ,,,,79 ,,,0 ,,,,0 ,,,,0 ,,,80 ,,,,,,80 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17: 00,,,,,0 ,,,,,,,0 ,,,,,,53 ,,,,70 ,,,0 ,,,,0 ,,,,0 ,,,62 ,,,,,,62 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18: 00,,,,,0 ,,,,,,,0 ,,,,,,41 ,,,,81 ,,,0 ,,,,0 ,,,,0 ,,,61 ,,,,,,61 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,19: 00,,,,,0 ,,,,,,,0 ,,,,,,55 ,,,,42 ,,,0 ,,,,0 ,,,,0 ,,,49 ,,,,,,49 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20: 00,,,,,0 ,,,,,,,0 ,,,,,,22 ,,,,25 ,,,0 ,,,,0 ,,,,0 ,,,24 ,,,,,,24 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,21: 00,,,,,0 ,,,,,,,0 ,,,,,,17 ,,,,14 ,,,0 ,,,,0 ,,,,0 ,,,16 ,,,,,,16 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,22: 00,,,,,0 ,,,,,,,0 ,,,,,,14 ,,,,4 ,,,0 ,,,,0 ,,,,0 ,,,9 ,,,,,,9 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,23: 00,,,,,0 ,,,,,,,0 ,,,,,,4 ,,,,7 ,,,0 ,,,,0 ,,,,0 ,,,6 ,,,,,,6 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total :,,,,,,,0 ,,,,,,0 ,,,,,"1,049 ",,,"1,087 ",,,,0 ,,,,0 ,,,,0 ,,,"1,071 ",,,,,,"1,071 ",,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AMPeak Period HR. ,,,,,,,,,,,,,,,,,,,8:00,,,8:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6AM to 12PM CT. ,,,,,,,,,,,,,,,,,,,119 ,,,99 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PMPeak Period HR.,,,,,,,,,,,,,,,,,,,12:00,,,,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12PM to 6PM CT. ,,,,,,,,,,,,,,,,,,,87 ,,,,87 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date:  10/2/2016,,,,,,,,,,,,,,,Direction:   Westbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Beginning Hour ,,,,,,,,Sun,,,,,,Mon,,,,,Tue,,,,Wed,,,Thu,,,,,Fri,,,Sat,,,,,Daily Avg,,,,Weekday Avg,,,Weekend Avg,,,,,
